P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
2024B07478,Ortiz,Rangel,Guadalupe,guadalupe.ortiz@universidad-sysac.edu.mx,guadalupeortiz915@outlook.com,8171628518,2026-02-11,Licenciatura en Educación,LIED2020MX,4,No,NA,Sí,Personal/Familiar,Beca de colegiatura,8.2,NA,Con padres o tutores,4,"$5,001-$10,000",Tutor,Sí,14,No,Ahorro,No,NA,1699,No,Solo internet,Preparatoria,Posgrado,No,Sí,Sí,Sí,Sí
2024A09066,Moreno,Zavala,Cecilia,cecilia_moreno@universidad-sysac.edu.mx,cecilia_moreno@yahoo.com,8118285222,2026-05-25,Licenciatura en Enfermería,LIEN2022MX,4,Sí,2,No,NA,Beca de colegiatura,8.2,NA,Con pareja,2,"$15,001-$25,000",Padre,No,NA,NA,"Trabajo propio, Apoyo gubernamental",No,NA,1756,No,Sí a ambos,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
2023A03275,Ortiz,Ortiz,Valentina,valentina_ortiz@universidad-sysac.edu.mx,valentina_ortiz568@live.com.mx,5557218356,2026-02-28,Licenciatura en Administración de Empresas,LIAD2020MX,5,No,NA,No,NA,Beca de colegiatura,8.4,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,27,No,"Crédito educativo, Trabajo propio, Apoyo familiar",No,NA,2119,No,Sí a ambos,Posgrado,Posgrado,No,No,Sí,Sí,Sí
2023C07003,Suárez,Téllez,Francisco,francisco_suarez@universidad-sysac.edu.mx,francisco_suarez14@hotmail.com,2222720023,2026-02-13,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,2,No,NA,Beca de colegiatura,7.5,NA,Con otros familiares,2,"$15,001-$25,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,1610,No,Solo internet,Preparatoria,Preparatoria,Sí,Sí,Sí,No,Sí
2022A03655,Velázquez,Hernández,Gabriel Mateo,gabrielvelazquez@universidad-sysac.edu.mx,gabriel.velazquez418@yahoo.com,5578746239,2026-05-29,Licenciatura en Contaduría Pública,LICO2020MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Padre,Sí,37,No,"Crédito educativo, Apoyo gubernamental, Ahorro",No,NA,1284,No,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2024C02877,Cervantes,Soto,Adrián Kevin,adriancervantes@universidad-sysac.edu.mx,adrian_cervantes482@gmail.com,4497453288,2026-02-17,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"Más de $25,000",Beca o apoyo gubernamental,Sí,13,No,"Crédito educativo, Trabajo propio",No,NA,2229,No,Sí a ambos,Licenciatura,Primaria,No,No,Sí,Sí,Sí
2024B09480,Vázquez,Ramírez,Gustavo,gustavo_vazquez@universidad-sysac.edu.mx,gustavo.vazquez@live.com.mx,5518437025,2026-06-23,Licenciatura en Educación,LIED2020MX,4,No,NA,Sí,Otra,Beca de colegiatura,8.9,NA,Con padres o tutores,3,"$15,001-$25,000",Beca o apoyo gubernamental,Sí,29,No,"Trabajo propio, Apoyo familiar",No,NA,1370,No,Ninguno,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
2020B08666,Cervantes,Mejía,Mario Brandon,mario_cervantes@universidad-sysac.edu.mx,mario_cervantes@protonmail.com,5523686215,2026-05-17,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,1,"$15,001-$25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,2095,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2023B09288,Muñoz,Ortiz,Yolanda,yolandamunoz@universidad-sysac.edu.mx,yolanda.munoz734@gmail.com,3362029600,2026-02-25,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,5,No,Trabajo propio,No,NA,988,No,Sí a ambos,Secundaria,Sin estudios,Sí,No,Sí,Sí,Sí
2022C07040,Ramírez,Acosta,Mateo,mateoramirez@universidad-sysac.edu.mx,mateo_ramirez452@yahoo.com,8138829436,2026-02-17,Ingeniería Industrial,LIIN2020MX,4,No,NA,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"Más de $25,000",Otro familiar,Sí,7,Sí,"Trabajo propio, Beca de otra institución, Apoyo gubernamental",No,NA,510,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,No,Sí,No
2025A05632,García,Pérez,Natalia,natalia.garcia@universidad-sysac.edu.mx,nataliagarcia97@gmail.com,5691280877,2026-01-15,Maestría en Psicopedagogía,LIPS2020MX,2,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,4,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo gubernamental,Sí,Beca municipal $800,2382,No,Sí a ambos,Primaria,Sin estudios,Sí,No,Sí,Sí,Sí
2020B00221,Flores,Velázquez,Ignacio Salvador,ignacioflores@universidad-sysac.edu.mx,ignacio.flores89@gmail.com,5553973441,2026-05-12,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",El propio estudiante,Sí,46,Sí,"Trabajo propio, Beca de otra institución",No,NA,1546,No,Solo internet,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2021C06657,Trejo,Núñez,Brenda Citlali,brenda.trejo@universidad-sysac.edu.mx,brendatrejo564@icloud.com,5558487120,2026-02-17,Licenciatura en Educación,LIED2020MX,5,Sí,4,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,6,"Menos de $5,000",El propio estudiante,Sí,36,No,"Trabajo propio, Crédito educativo",Sí,"Beca estatal $1,000",1687,Sí,Sí a ambos,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
2022A03470,Domínguez,Velázquez,Claudia,claudiadominguez@universidad-sysac.edu.mx,NA,8171232620,2026-01-14,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",El propio estudiante,Sí,40,Sí,Trabajo propio,Sí,"Beca Jóvenes Escribiendo el Futuro $2,450",2155,No,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2020B03837,Jiménez,Ruiz,Rosa,rosajimenez@universidad-sysac.edu.mx,NA,3323496748,2026-02-28,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,3,Sí,Personal/Familiar,Beca de transporte,NA,15800,Con padres o tutores,3,"Más de $25,000",Padre,Sí,35,Sí,"Crédito educativo, Apoyo gubernamental",Sí,Beca municipal $800,2507,No,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2018A07998,Rojas,González,Víctor,victor.rojas@universidad-sysac.edu.mx,victor_rojas@outlook.com,4426856382,2026-01-16,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,2,Sí,Personal/Familiar,Beca de colegiatura,7.1,NA,Con padres o tutores,1,"$15,001-$25,000",Madre,No,NA,NA,Apoyo gubernamental,No,NA,2102,Sí,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2022C05694,Torres,Camacho,Beatriz,beatriz.torres@universidad-sysac.edu.mx,beatriz.torres88@outlook.com,8155639303,2026-05-23,Licenciatura en Gastronomía,LIGA2020MX,5,No,NA,Sí,Laboral,Beca de colegiatura,8.7,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,Sí,34,No,Trabajo propio,No,NA,2289,Sí,Sí a ambos,Secundaria,Primaria,Sí,Sí,No,Sí,Sí
2023B07053,González,Salazar,Sebastián,sebastian_gonzalez@universidad-sysac.edu.mx,sebastiangonzalez294@yahoo.com,4433146916,2026-01-20,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,4,No,NA,Beca de transporte,NA,15330,Con pareja,4,"$5,001-$10,000",Padre,Sí,11,No,Trabajo propio,No,NA,2941,No,Sí a ambos,Licenciatura,Preparatoria,No,Sí,Sí,No,No
2023A08149,Rojas,Rojas,Alberto Emilio,alberto_rojas@universidad-sysac.edu.mx,albertorojas934@live.com.mx,5557272431,2026-02-10,Licenciatura en Enfermería,LIEN2022MX,4,Sí,2,Sí,Económica,Beca de colegiatura,8.6,NA,Con padres o tutores,5,"$10,001-$15,000",El propio estudiante,Sí,25,No,"Trabajo propio, Beca de otra institución",No,NA,1727,Sí,Solo internet,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
2021B07191,Gómez,Sánchez,Regina,regina.gomez@universidad-sysac.edu.mx,regina_gomez@live.com.mx,4473046935,2026-02-10,Licenciatura en Enfermería,LIEN2022MX,4,Sí,1,Sí,Económica,Beca de colegiatura,8.3,NA,Con otros familiares,1,"$15,001-$25,000",Beca o apoyo gubernamental,No,NA,NA,"Crédito educativo, Apoyo familiar, Beca de otra institución",No,NA,2242,Sí,Solo internet,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
2025B02396,Figueroa,Muñoz,Regina Camila,regina.figueroa@universidad-sysac.edu.mx,reginafigueroa87@yahoo.com,4468110785,2026-01-14,Licenciatura en Gastronomía,LIGA2020MX,2,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",El propio estudiante,Sí,34,No,"Trabajo propio, Crédito educativo",No,NA,2480,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2024A02563,Hernández,Palacios,Enrique,enrique.hernandez@universidad-sysac.edu.mx,enrique.hernandez@gmail.com,5661551080,2026-02-25,Licenciatura en Mercadotecnia,LIME2020MX,4,Sí,6,Sí,Laboral,Beca de transporte,NA,15100,Con padres o tutores,2,"$5,001-$10,000",Beca o apoyo gubernamental,No,NA,NA,"Apoyo gubernamental, Ahorro",No,NA,1165,No,Sí a ambos,Primaria,Primaria,Sí,Sí,Sí,No,Sí
2025C09561,Romero,Rojas,Rafael,rafael.romero@universidad-sysac.edu.mx,rafaelromero89@gmail.com,5516187538,2026-06-13,Licenciatura en Ciencia de Datos,LICI2020MX,2,No,NA,Sí,Económica,Beca de colegiatura,9.2,NA,Con otros familiares,1,"Más de $25,000",Madre,Sí,29,No,Apoyo familiar,No,NA,1814,Sí,Sí a ambos,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
2022B09101,DÍAZ,PÉREZ,BEATRIZ DANIELA,beatriz.diaz@universidad-sysac.edu.mx,beatriz.diaz@hotmail.com,5511260789,2026-05-28,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Padre,Sí,5,No,"Trabajo propio, Ahorro",No,NA,507,No,Sí a ambos,Licenciatura,Primaria,No,No,Sí,Sí,Sí
2020C06045,Guerrero,Espinoza,Javier,javier.guerrero@universidad-sysac.edu.mx,NA,4447368836,2026-01-19,Licenciatura en Derecho,LIDE2020MX,4,Sí,1,Sí,Académica,Beca de colegiatura,8.7,NA,En residencia estudiantil,4,"$5,001-$10,000",Madre,No,NA,NA,"Beca de otra institución, Apoyo familiar",No,NA,492,Sí,Sí a ambos,Sin estudios,Primaria,Sí,Sí,Sí,Sí,Sí
2024A06005,Fuentes,Morales,Patricia,patricia_fuentes@universidad-sysac.edu.mx,NA,5566985971,2026-05-31,Ingeniería Industrial,LIIN2020MX,4,No,NA,Sí,Académica,Beca de transporte,NA,56100,Con padres o tutores,4,"$10,001-$15,000",Madre,Sí,17,Sí,Apoyo gubernamental,No,NA,3173,Sí,Sí a ambos,Secundaria,Licenciatura,No,No,Sí,Sí,Sí
2025A05618,Palacios,Valencia,Araceli Brenda,aracelipalacios@universidad-sysac.edu.mx,aracelipalacios@gmail.com,5589618546,2026-02-13,Licenciatura en Educación,LIED2020MX,2,Sí,2,No,NA,Beca de colegiatura,6.8,NA,Con padres o tutores,2,"$15,001-$25,000",Otro familiar,No,NA,NA,"Apoyo familiar, Ahorro",Sí,Beca municipal $800,1790,No,Sí a ambos,Primaria,Sin estudios,Sí,No,Sí,Sí,Sí
2024B07646,Ramírez,Aguilar,Ximena,ximenaramirez@universidad-sysac.edu.mx,ximena.ramirez93@protonmail.com,4498568228,2026-02-13,Licenciatura en Educación,LIED2020MX,4,Sí,4,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Madre,No,NA,NA,Apoyo familiar,No,NA,2219,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2022C06291,Rojas,Díaz,Oscar,oscarrojas@universidad-sysac.edu.mx,NA,5569081300,2026-02-25,Ingeniería Industrial,LIIN2020MX,4,Sí,2,Sí,Laboral,Beca de colegiatura,8.3,NA,Con padres o tutores,6,"$5,001-$10,000",Madre,Sí,23,No,"Apoyo gubernamental, Trabajo propio, Apoyo familiar",No,NA,1332,No,Sí a ambos,Primaria,Primaria,Sí,Sí,Sí,Sí,Sí
2019B05947,Trejo,Sandoval,Rocío Martha,rocio_trejo@universidad-sysac.edu.mx,NA,5588502449,2026-06-13,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,6,Sí,Económica,Beca de transporte,NA,09080,Con padres o tutores,2,"$10,001-$15,000",Padre,Sí,13,Sí,"Trabajo propio, Apoyo gubernamental",No,NA,1295,Sí,Sí a ambos,Primaria,Primaria,Sí,No,Sí,Sí,Sí
2020C06032,Muñoz,Camacho,Alejandro Alan,alejandro.munoz@universidad-sysac.edu.mx,alejandro.munoz772@protonmail.com,5633453622,2026-01-16,Licenciatura en Gastronomía,LIGA2020MX,5,No,NA,No,NA,Beca de colegiatura,9.0,NA,Solo/a,3,"$15,001-$25,000",Padre,No,NA,NA,"Apoyo familiar, Ahorro",No,NA,248,No,Sí a ambos,Secundaria,Licenciatura,No,No,Sí,Sí,Sí
2020C08095,Rivera,Domínguez,Cecilia,ceciliarivera@universidad-sysac.edu.mx,ceciliarivera93@protonmail.com,8173350423,2026-01-16,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,6,Sí,Personal/Familiar,Beca de colegiatura,6.4,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,18,No,"Trabajo propio, Ahorro, Apoyo gubernamental",No,NA,2272,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2020C03341,Campos,Lara,Nayeli,nayelicampos@universidad-sysac.edu.mx,nayeli_campos712@hotmail.com,8199882282,2026-02-15,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,2,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,No,NA,NA,"Trabajo propio, Apoyo gubernamental",No,NA,1529,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
2019A03891,Campos,Herrera,Uriel,uriel.campos@universidad-sysac.edu.mx,urielcampos381@protonmail.com,(55) 84225911,2026-01-18,Licenciatura en Derecho,LIDE2020MX,4,Sí,5,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,42,No,"Apoyo familiar, Crédito educativo",No,NA,1184,No,Ninguno,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2024C09894,lópez,estrada,beatriz ximena,beatriz_lopez@universidad-sysac.edu.mx,beatrizlopez659@outlook.com,5596837033,2026-01-16,Ingeniería Industrial,LIIN2020MX,4,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,1,"$15,001-$25,000",Madre,Sí,20,No,"Crédito educativo, Ahorro, Trabajo propio",Sí,"Beca Jóvenes Escribiendo el Futuro $2,450",2396,Sí,Sí a ambos,Licenciatura,Sin estudios,No,No,Sí,Sí,No
2024A06508,Flores,Aguilar,Karla,karla.flores@universidad-sysac.edu.mx,NA,8139761658,2026-06-02,Ingeniería Industrial,LIIN2020MX,4,Sí,3,Sí,Académica,Beca de colegiatura,7.5,NA,Con padres o tutores,1,"$15,001-$25,000",Beca o apoyo gubernamental,No,NA,NA,"Apoyo familiar, Ahorro",No,NA,367,Sí,Solo internet,Preparatoria,Preparatoria,Sí,No,Sí,Sí,No
2021A02706,Soto,Molina,Daniela,daniela_soto@universidad-sysac.edu.mx,daniela_soto85@protonmail.com,3378014258,2026-01-27,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,6,Sí,Económica,Beca de colegiatura,6.2,NA,Con padres o tutores,4,"$5,001-$10,000",Madre,Sí,39,No,"Crédito educativo, Trabajo propio, Ahorro",Sí,"Beca estatal $1,000",1403,Sí,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,No
2019B09498,Contreras,Ibarra,Luz,luz_contreras@universidad-sysac.edu.mx,luzcontreras@live.com.mx,5625819451,2026-06-09,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,4,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,1,"Más de $25,000",Madre,No,NA,NA,"Ahorro, Trabajo propio, Crédito educativo",No,NA,2455,No,Sí a ambos,Licenciatura,Licenciatura,No,No,Sí,Sí,Sí
2023C07650,Soto,González,Ignacio,ignacio_soto@universidad-sysac.edu.mx,NA,8150668014,2026-05-21,Ingeniería en Sistemas Computacionales,LISC2020MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Tutor,No,NA,NA,"Apoyo familiar, Apoyo gubernamental",No,NA,710,No,Solo internet,Licenciatura,Preparatoria,No,No,Sí,Sí,Sí
2024A02491,Domínguez,González,Rodrigo,rodrigodominguez@universidad-sysac.edu.mx,NA,8132138313,2026-06-25,Licenciatura en Mercadotecnia,LIME2020MX,4,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Madre,Sí,9,No,"Trabajo propio, Apoyo familiar",No,NA,1823,No,Sí a ambos,Primaria,Licenciatura,No,No,Sí,Sí,No
2020B03354,Soto,Muñoz,Antonio,antonio_soto@universidad-sysac.edu.mx,NA,5532927543,2026-02-27,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,2,No,NA,Beca de colegiatura,7.9,NA,Con pareja,1,"$10,001-$15,000",Padre,No,NA,NA,Apoyo gubernamental,No,NA,34,Sí,Solo internet,Primaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2019C03490,Guerrero,Reyes,Alicia,alicia.guerrero@universidad-sysac.edu.mx,aliciaguerrero332@outlook.com,3337956589,2026-01-15,Licenciatura en Derecho,LIDE2020MX,4,No,NA,Sí,Personal/Familiar,Beca de colegiatura,8.9,NA,Con padres o tutores,1,"$10,001-$15,000",Tutor,No,NA,NA,"Ahorro, Apoyo gubernamental",No,NA,784,Sí,Sí a ambos,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
2023C05989,Ibarra,Vázquez,Jesús Víctor,jesus.ibarra@universidad-sysac.edu.mx,jesus.ibarra@gmail.com,5621420338,2026-02-26,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,5,No,NA,Beca de colegiatura,7.1,NA,Con otros familiares,4,"Menos de $5,000",Padre,No,NA,NA,Crédito educativo,No,NA,1486,Sí,Sí a ambos,Licenciatura,Preparatoria,No,Sí,Sí,Sí,Sí
2025B01307,Hernández,García,Daniela,daniela.hernandez@universidad-sysac.edu.mx,danielahernandez@yahoo.com.mx,3331681512,2026-01-01,Licenciatura en Ciencia de Datos,LICI2020MX,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$15,001-$25,000",Padre,Sí,29,Sí,Trabajo propio,No,NA,2023,No,Solo internet,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
2025C08882,Valencia,Bautista,Isabel Carmen,isabelvalencia@universidad-sysac.edu.mx,isabel.valencia365@yahoo.com.mx,5578429172,2026-01-03,Licenciatura en Administración de Empresas,LIAD2020MX,2,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con pareja,1,"$10,001-$15,000",Madre,No,NA,NA,"Trabajo propio, Ahorro",No,NA,2334,No,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2024B02642,Figueroa,Velázquez,Adrián,adrian.figueroa@universidad-sysac.edu.mx,adrianfigueroa@icloud.com,3329764151,2026-06-07,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,6,No,NA,Beca de colegiatura,6.0,NA,Con padres o tutores,4,"Menos de $5,000",El propio estudiante,Sí,25,Sí,"Trabajo propio, Beca de otra institución, Ahorro",No,NA,1859,Sí,Sí a ambos,Preparatoria,Posgrado,No,No,Sí,Sí,Sí
2023C09105,Ríos,Silva,Regina,regina.rios@universidad-sysac.edu.mx,regina.rios94@protonmail.com,4494004881,2026-01-28,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Madre,No,NA,NA,"Crédito educativo, Ahorro",No,NA,498,Sí,Sí a ambos,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
2024B10279,Flores,Silva,Renata Regina,renataflores@universidad-sysac.edu.mx,NA,5566493244,2026-06-16,Licenciatura en Derecho,LIDE2020MX,4,No,NA,No,NA,Beca de colegiatura,9.5,NA,Con padres o tutores,4,"$5,001-$10,000",El propio estudiante,Sí,26,Sí,"Trabajo propio, Apoyo familiar, Ahorro",No,NA,1720,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,No
2025B05432,Delgado,Jiménez,Nayeli,nayeli_delgado@universidad-sysac.edu.mx,nayeli.delgado@live.com.mx,8168248509,2026-02-07,Licenciatura en Administración de Empresas,LIAD2020MX,2,Sí,2,Sí,Laboral,Beca de transporte,NA,15820,Con padres o tutores,2,"$10,001-$15,000",Padre,Sí,40,No,"Apoyo gubernamental, Trabajo propio, Crédito educativo",No,NA,1104,No,Sí a ambos,Licenciatura,Preparatoria,No,No,Sí,No,Sí
